freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.599e+03,5.092e+01,4.212e+01,3.692e+03
1.6,2.069e+03,4.794e+01,4.283e+01,2.160e+03
3.1,2.662e+02,2.076e+01,2.382e+01,3.107e+02
4.7,1.479e+03,2.452e+01,2.328e+01,1.527e+03
6.2,4.975e+03,4.271e+01,2.296e+01,5.040e+03
7.8,8.020e+03,5.913e+01,2.267e+01,8.102e+03
9.3,1.163e+04,7.270e+01,2.407e+01,1.173e+04
10.9,1.596e+04,7.823e+01,2.297e+01,1.606e+04
12.4,2.108e+04,1.009e+02,2.410e+01,2.121e+04
14.0,2.713e+04,1.273e+02,2.428e+01,2.728e+04
15.5,3.491e+04,1.719e+02,2.317e+01,3.510e+04
17.1,4.490e+04,2.381e+02,2.325e+01,4.516e+04
18.7,5.914e+04,3.961e+02,2.564e+01,5.956e+04
20.2,6.296e+04,5.243e+02,2.761e+01,6.352e+04
21.8,5.183e+04,3.583e+02,3.459e+01,5.223e+04
23.3,6.125e+04,8.046e+02,5.058e+01,6.210e+04
24.9,7.640e+04,8.357e+02,4.077e+01,7.728e+04
26.4,9.348e+04,6.210e+02,2.877e+01,9.413e+04
28.0,1.116e+05,6.255e+02,2.714e+01,1.123e+05
29.5,1.252e+05,5.904e+02,2.569e+01,1.258e+05
31.1,1.374e+05,4.424e+02,2.908e+01,1.379e+05
32.6,1.587e+05,4.367e+02,2.839e+01,1.592e+05
34.2,1.870e+05,4.653e+02,2.895e+01,1.875e+05
35.8,2.190e+05,5.483e+02,2.772e+01,2.196e+05
37.3,2.516e+05,6.360e+02,2.698e+01,2.522e+05
38.9,2.882e+05,7.294e+02,3.133e+01,2.890e+05
40.4,3.332e+05,8.413e+02,4.117e+01,3.341e+05
42.0,3.827e+05,9.521e+02,4.622e+01,3.837e+05
43.5,4.423e+05,9.879e+02,5.838e+01,4.433e+05
45.1,5.156e+05,9.694e+02,8.783e+01,5.167e+05
46.6,6.020e+05,1.022e+03,1.503e+02,6.031e+05
48.2,6.922e+05,1.332e+03,1.767e+02,6.937e+05
49.7,7.953e+05,1.344e+03,1.840e+02,7.969e+05
51.3,9.359e+05,9.390e+02,6.340e+02,9.375e+05
52.9,1.115e+06,8.441e+02,2.600e+03,1.118e+06
54.4,1.340e+06,5.662e+03,1.244e+04,1.358e+06
56.0,1.616e+06,2.827e+04,4.039e+04,1.685e+06
57.5,1.933e+06,6.166e+04,6.796e+04,2.063e+06
59.1,2.324e+06,7.479e+04,6.485e+04,2.463e+06
60.6,2.891e+06,8.248e+04,6.015e+04,3.033e+06
62.2,3.837e+06,8.904e+04,6.214e+04,3.988e+06
63.7,5.306e+06,7.674e+04,5.388e+04,5.437e+06
65.3,7.114e+06,5.374e+04,3.393e+04,7.202e+06
66.8,8.016e+06,3.807e+04,2.539e+04,8.080e+06
68.4,9.780e+06,5.054e+04,6.277e+04,9.893e+06
70.0,1.474e+07,7.831e+04,1.338e+05,1.496e+07
71.5,2.137e+07,8.686e+04,2.033e+05,2.166e+07
73.1,2.441e+07,5.809e+04,2.530e+05,2.472e+07
74.6,2.238e+07,3.083e+04,2.727e+05,2.268e+07
76.2,1.846e+07,1.239e+04,2.484e+05,1.872e+07
77.7,1.463e+07,9.631e+03,1.953e+05,1.483e+07
79.3,1.136e+07,1.819e+04,1.409e+05,1.152e+07
80.8,8.707e+06,2.076e+04,1.016e+05,8.829e+06
82.4,6.606e+06,3.156e+04,8.074e+04,6.718e+06
83.9,5.061e+06,6.889e+04,6.061e+04,5.190e+06
85.5,3.841e+06,9.689e+04,3.780e+04,3.976e+06
87.1,2.797e+06,9.412e+04,2.005e+04,2.911e+06
88.6,1.902e+06,7.799e+04,9.565e+03,1.989e+06
90.2,1.346e+06,6.312e+04,6.184e+03,1.415e+06
91.7,1.082e+06,4.784e+04,7.669e+03,1.137e+06
93.3,8.660e+05,2.865e+04,7.949e+03,9.026e+05
94.8,6.472e+05,1.579e+04,5.106e+03,6.681e+05
96.4,4.809e+05,4.422e+04,2.424e+03,5.275e+05
97.9,4.826e+05,1.288e+05,2.994e+03,6.143e+05
99.5,8.617e+05,2.010e+05,1.352e+04,1.076e+06
101.1,1.852e+06,2.596e+05,3.151e+04,2.143e+06
102.6,3.007e+06,2.878e+05,3.899e+04,3.334e+06
104.2,3.477e+06,2.734e+05,3.496e+04,3.786e+06
105.7,3.214e+06,2.446e+05,2.691e+04,3.486e+06
107.3,2.641e+06,2.118e+05,1.859e+04,2.871e+06
108.8,2.311e+06,1.824e+05,1.286e+04,2.506e+06
110.4,2.194e+06,1.515e+05,8.714e+03,2.354e+06
111.9,2.038e+06,1.116e+05,5.380e+03,2.155e+06
113.5,1.840e+06,9.422e+04,3.133e+03,1.938e+06
115.0,1.623e+06,1.043e+05,1.795e+03,1.729e+06
116.6,1.410e+06,1.184e+05,1.179e+03,1.529e+06
118.2,1.234e+06,1.229e+05,1.237e+03,1.358e+06
119.7,1.061e+06,1.146e+05,1.402e+03,1.177e+06
121.3,8.977e+05,8.806e+04,1.430e+03,9.872e+05
122.8,8.247e+05,5.440e+04,2.056e+03,8.811e+05
124.4,7.254e+05,3.358e+04,2.396e+03,7.614e+05
125.9,6.483e+05,3.105e+04,1.979e+03,6.813e+05
127.5,6.062e+05,4.788e+04,1.065e+03,6.551e+05
129.0,5.569e+05,5.755e+04,9.357e+02,6.154e+05
130.6,4.983e+05,5.608e+04,1.556e+03,5.559e+05
132.1,3.692e+05,4.387e+04,1.666e+03,4.148e+05
133.7,8.461e+04,1.055e+04,4.471e+02,9.560e+04
135.3,9.719e+03,1.101e+03,6.750e+01,1.089e+04
136.8,9.223e+03,8.744e+02,9.574e+01,1.019e+04
138.4,9.233e+03,1.053e+03,1.358e+02,1.042e+04
139.9,8.449e+03,1.347e+03,1.688e+02,9.965e+03
141.5,8.523e+03,1.317e+03,2.498e+02,1.009e+04
143.0,7.926e+03,1.350e+03,3.088e+02,9.585e+03
144.6,7.672e+03,1.697e+03,3.516e+02,9.720e+03
146.1,7.531e+03,2.243e+03,3.320e+02,1.011e+04
147.7,6.384e+03,3.129e+03,3.102e+02,9.823e+03
149.2,6.010e+03,5.262e+03,2.860e+02,1.156e+04
150.8,6.106e+03,8.083e+03,2.709e+02,1.446e+04
152.4,6.774e+03,8.203e+03,2.465e+02,1.522e+04
153.9,8.534e+03,5.569e+03,1.952e+02,1.430e+04
155.5,9.849e+03,5.311e+03,1.624e+02,1.532e+04
157.0,9.141e+03,5.748e+03,1.571e+02,1.505e+04
158.6,8.797e+03,5.845e+03,1.650e+02,1.481e+04
160.1,8.556e+03,6.171e+03,1.617e+02,1.489e+04
161.7,8.776e+03,6.433e+03,1.518e+02,1.536e+04
163.2,9.532e+03,6.547e+03,1.305e+02,1.621e+04
164.8,9.980e+03,6.575e+03,1.122e+02,1.667e+04
166.3,1.062e+04,6.809e+03,1.097e+02,1.754e+04
167.9,1.104e+04,7.601e+03,1.174e+02,1.876e+04
169.5,1.100e+04,8.541e+03,1.308e+02,1.967e+04
171.0,1.085e+04,9.070e+03,1.397e+02,2.006e+04
172.6,1.079e+04,8.617e+03,1.329e+02,1.954e+04
174.1,1.115e+04,8.125e+03,1.287e+02,1.940e+04
175.7,1.035e+04,7.149e+03,1.289e+02,1.763e+04
177.2,9.622e+03,6.231e+03,1.199e+02,1.597e+04
178.8,8.432e+03,5.914e+03,1.034e+02,1.445e+04
180.3,6.818e+03,5.519e+03,1.033e+02,1.244e+04
181.9,5.574e+03,4.678e+03,1.114e+02,1.036e+04
183.4,5.009e+03,3.732e+03,1.030e+02,8.844e+03
185.0,4.754e+03,3.167e+03,8.989e+01,8.012e+03
186.6,4.193e+03,2.805e+03,8.272e+01,7.080e+03
188.1,3.461e+03,2.808e+03,8.802e+01,6.357e+03
189.7,2.608e+03,2.827e+03,9.019e+01,5.525e+03
191.2,1.816e+03,2.695e+03,8.943e+01,4.601e+03
192.8,1.694e+03,2.559e+03,9.599e+01,4.349e+03
194.3,1.745e+03,2.894e+03,1.035e+02,4.743e+03
195.9,1.963e+03,3.783e+03,1.222e+02,5.868e+03
197.4,2.859e+03,4.115e+03,1.513e+02,7.126e+03
199.0,5.566e+03,3.605e+03,1.581e+02,9.329e+03
