freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.286e+01,1.810e+03,5.364e+02,2.389e+03
1.5,9.736e+01,1.041e+03,3.666e+02,1.505e+03
3.0,9.313e+01,1.178e+02,5.219e+01,2.631e+02
4.5,9.871e+01,1.111e+03,3.583e+01,1.245e+03
6.0,1.225e+02,4.585e+03,4.190e+01,4.750e+03
7.5,1.364e+02,7.894e+03,4.656e+01,8.077e+03
9.0,1.562e+02,1.160e+04,6.410e+01,1.182e+04
10.5,1.768e+02,1.627e+04,8.444e+01,1.653e+04
12.0,1.889e+02,2.150e+04,8.005e+01,2.177e+04
13.5,2.024e+02,2.750e+04,8.729e+01,2.779e+04
15.0,2.533e+02,3.574e+04,1.024e+02,3.609e+04
16.5,3.184e+02,4.536e+04,1.398e+02,4.581e+04
18.0,3.953e+02,5.591e+04,1.905e+02,5.649e+04
19.5,5.127e+02,6.891e+04,2.509e+02,6.967e+04
21.0,5.666e+02,8.405e+04,3.564e+02,8.497e+04
22.5,4.576e+02,1.014e+05,5.107e+02,1.024e+05
24.0,4.756e+02,1.185e+05,6.969e+02,1.196e+05
25.5,5.929e+02,1.395e+05,9.967e+02,1.410e+05
27.0,7.568e+02,1.647e+05,1.492e+03,1.669e+05
28.5,7.880e+02,1.892e+05,2.133e+03,1.921e+05
30.0,7.025e+02,2.236e+05,3.092e+03,2.274e+05
31.5,8.662e+02,2.734e+05,3.929e+03,2.782e+05
33.0,1.101e+03,3.318e+05,4.636e+03,3.375e+05
34.5,1.360e+03,3.973e+05,6.488e+03,4.052e+05
36.0,1.618e+03,5.042e+05,1.161e+04,5.175e+05
37.5,1.617e+03,5.966e+05,2.049e+04,6.187e+05
39.0,1.396e+03,6.425e+05,3.465e+04,6.785e+05
40.5,1.145e+03,7.166e+05,6.156e+04,7.793e+05
42.0,1.101e+03,8.489e+05,1.139e+05,9.639e+05
43.5,1.328e+03,1.099e+06,2.390e+05,1.339e+06
45.0,2.006e+03,1.513e+06,5.736e+05,2.089e+06
46.5,3.408e+03,1.840e+06,1.204e+06,3.048e+06
48.0,4.624e+03,1.614e+06,1.762e+06,3.381e+06
49.5,5.183e+03,1.303e+06,1.801e+06,3.109e+06
50.9,7.300e+03,1.167e+06,1.382e+06,2.556e+06
52.4,1.132e+04,1.147e+06,1.196e+06,2.354e+06
53.9,1.195e+04,1.219e+06,1.119e+06,2.350e+06
55.4,1.094e+04,1.431e+06,1.088e+06,2.529e+06
56.9,1.133e+04,1.805e+06,1.107e+06,2.923e+06
58.4,1.286e+04,2.400e+06,1.147e+06,3.560e+06
59.9,1.654e+04,3.231e+06,1.233e+06,4.480e+06
61.4,1.843e+04,4.074e+06,1.297e+06,5.390e+06
62.9,1.719e+04,4.618e+06,1.289e+06,5.925e+06
64.4,1.471e+04,4.599e+06,1.164e+06,5.778e+06
65.9,1.179e+04,4.276e+06,1.021e+06,5.308e+06
67.4,8.227e+03,3.764e+06,8.935e+05,4.666e+06
68.9,4.379e+03,2.801e+06,6.756e+05,3.481e+06
70.4,2.244e+03,2.126e+06,5.119e+05,2.640e+06
71.9,1.707e+03,1.731e+06,4.252e+05,2.158e+06
73.4,2.927e+03,1.402e+06,3.647e+05,1.770e+06
74.9,1.030e+04,1.177e+06,3.402e+05,1.527e+06
76.4,2.627e+04,1.002e+06,3.458e+05,1.374e+06
77.9,3.377e+04,8.842e+05,3.322e+05,1.250e+06
79.4,2.579e+04,1.011e+06,2.610e+05,1.298e+06
80.9,1.779e+04,1.296e+06,1.803e+05,1.494e+06
82.4,1.604e+04,1.502e+06,1.188e+05,1.637e+06
83.9,1.635e+04,1.671e+06,7.889e+04,1.767e+06
85.4,1.715e+04,1.794e+06,4.572e+04,1.857e+06
86.9,1.588e+04,1.819e+06,2.495e+04,1.860e+06
88.4,1.497e+04,1.824e+06,1.183e+04,1.851e+06
89.9,1.116e+04,1.782e+06,5.258e+03,1.799e+06
91.4,1.079e+04,1.670e+06,3.790e+03,1.684e+06
92.9,1.742e+04,1.566e+06,4.944e+03,1.589e+06
94.4,3.113e+04,1.429e+06,7.057e+03,1.467e+06
95.9,4.497e+04,1.274e+06,8.339e+03,1.328e+06
97.4,5.358e+04,1.124e+06,7.687e+03,1.185e+06
98.9,6.020e+04,1.014e+06,5.659e+03,1.080e+06
100.4,6.423e+04,9.434e+05,3.790e+03,1.011e+06
101.9,6.370e+04,8.913e+05,3.056e+03,9.581e+05
103.4,6.188e+04,8.520e+05,3.426e+03,9.173e+05
104.9,6.197e+04,8.306e+05,4.632e+03,8.972e+05
106.4,5.897e+04,8.153e+05,6.712e+03,8.810e+05
107.9,5.036e+04,7.946e+05,8.519e+03,8.534e+05
109.4,3.951e+04,7.873e+05,9.521e+03,8.363e+05
110.9,2.785e+04,7.787e+05,9.824e+03,8.164e+05
112.4,2.531e+04,7.785e+05,9.662e+03,8.135e+05
113.9,2.907e+04,7.596e+05,9.295e+03,7.980e+05
115.4,3.282e+04,7.197e+05,8.500e+03,7.610e+05
116.9,3.363e+04,6.805e+05,7.613e+03,7.217e+05
118.4,3.153e+04,6.263e+05,6.798e+03,6.646e+05
119.9,2.863e+04,6.003e+05,6.044e+03,6.350e+05
121.4,2.474e+04,5.903e+05,5.493e+03,6.206e+05
122.9,2.015e+04,5.773e+05,5.255e+03,6.027e+05
124.4,1.553e+04,5.751e+05,5.375e+03,5.960e+05
125.9,1.216e+04,5.767e+05,5.675e+03,5.946e+05
127.4,8.787e+03,5.827e+05,5.796e+03,5.972e+05
