freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.570e+03,3.636e+01,7.517e+00,4.614e+03
1.6,2.757e+03,4.224e+01,2.431e+01,2.823e+03
3.1,3.736e+02,3.156e+01,2.563e+01,4.307e+02
4.7,1.709e+03,3.687e+01,2.471e+01,1.770e+03
6.2,5.096e+03,4.562e+01,2.175e+01,5.163e+03
7.8,8.204e+03,5.676e+01,2.213e+01,8.283e+03
9.3,1.172e+04,7.446e+01,2.428e+01,1.182e+04
10.9,1.590e+04,8.593e+01,2.631e+01,1.602e+04
12.4,2.105e+04,1.028e+02,2.830e+01,2.118e+04
14.0,2.726e+04,1.295e+02,2.734e+01,2.742e+04
15.6,3.464e+04,1.643e+02,2.499e+01,3.483e+04
17.1,4.416e+04,2.216e+02,2.552e+01,4.441e+04
18.7,5.885e+04,3.762e+02,2.520e+01,5.925e+04
20.2,6.457e+04,5.280e+02,2.749e+01,6.512e+04
21.8,5.173e+04,3.248e+02,3.328e+01,5.208e+04
23.3,6.083e+04,7.440e+02,4.930e+01,6.162e+04
24.9,7.633e+04,8.568e+02,3.816e+01,7.722e+04
26.4,9.378e+04,6.941e+02,2.515e+01,9.449e+04
28.0,1.118e+05,7.506e+02,2.405e+01,1.125e+05
29.5,1.265e+05,7.244e+02,2.421e+01,1.272e+05
31.1,1.384e+05,5.681e+02,2.731e+01,1.390e+05
32.7,1.600e+05,5.909e+02,2.775e+01,1.607e+05
34.2,1.872e+05,6.691e+02,2.523e+01,1.879e+05
35.8,2.191e+05,8.293e+02,2.557e+01,2.200e+05
37.3,2.509e+05,1.001e+03,2.750e+01,2.519e+05
38.9,2.852e+05,1.179e+03,3.082e+01,2.864e+05
40.4,3.265e+05,1.397e+03,3.724e+01,3.279e+05
42.0,3.733e+05,1.634e+03,4.215e+01,3.750e+05
43.5,4.299e+05,1.893e+03,3.916e+01,4.318e+05
45.1,4.930e+05,2.196e+03,3.549e+01,4.952e+05
46.7,5.725e+05,2.629e+03,4.531e+01,5.752e+05
48.2,6.552e+05,3.241e+03,7.890e+01,6.585e+05
49.8,7.439e+05,3.870e+03,8.177e+01,7.479e+05
51.3,8.678e+05,4.453e+03,5.959e+01,8.723e+05
52.9,1.023e+06,5.425e+03,6.943e+01,1.029e+06
54.4,1.208e+06,6.575e+03,9.790e+01,1.215e+06
56.0,1.441e+06,7.578e+03,2.069e+02,1.449e+06
57.5,1.734e+06,1.047e+04,9.038e+02,1.745e+06
59.1,2.076e+06,1.982e+04,3.709e+03,2.100e+06
60.7,2.487e+06,3.760e+04,1.793e+04,2.543e+06
62.2,3.109e+06,4.564e+04,4.129e+04,3.196e+06
63.8,4.096e+06,1.913e+04,3.060e+04,4.145e+06
65.3,5.804e+06,2.065e+04,1.971e+04,5.844e+06
66.9,7.918e+06,3.484e+04,1.903e+04,7.971e+06
68.4,9.965e+06,4.764e+04,5.610e+03,1.002e+07
70.0,1.566e+07,7.693e+04,1.425e+03,1.574e+07
71.5,2.774e+07,1.317e+05,2.450e+03,2.788e+07
73.1,3.977e+07,2.012e+05,5.277e+03,3.997e+07
74.7,3.945e+07,1.971e+05,7.506e+03,3.966e+07
76.2,3.136e+07,1.617e+05,6.805e+03,3.153e+07
77.8,2.296e+07,1.413e+05,4.511e+03,2.311e+07
79.3,1.613e+07,1.168e+05,2.697e+03,1.625e+07
80.9,1.142e+07,7.606e+04,2.293e+03,1.150e+07
82.4,8.320e+06,3.296e+04,3.111e+03,8.356e+06
84.0,6.214e+06,1.068e+04,3.966e+03,6.228e+06
85.5,4.588e+06,4.907e+03,3.104e+03,4.596e+06
87.1,3.284e+06,3.552e+03,1.651e+03,3.289e+06
