freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.860e+01,2.127e+03,9.313e+02,3.097e+03
1.6,4.895e+01,1.219e+03,5.435e+02,1.812e+03
3.1,4.495e+01,6.199e+01,2.586e+01,1.328e+02
4.7,5.098e+01,1.361e+03,2.969e+01,1.442e+03
6.2,6.711e+01,4.970e+03,4.105e+01,5.078e+03
7.8,7.910e+01,8.334e+03,4.319e+01,8.456e+03
9.3,1.021e+02,1.214e+04,6.186e+01,1.231e+04
10.9,1.337e+02,1.697e+04,7.580e+01,1.718e+04
12.4,1.672e+02,2.307e+04,8.945e+01,2.333e+04
14.0,2.012e+02,3.030e+04,1.197e+02,3.062e+04
15.5,2.143e+02,4.059e+04,1.621e+02,4.097e+04
17.1,2.195e+02,5.582e+04,2.273e+02,5.627e+04
18.7,4.409e+02,7.685e+04,3.310e+02,7.762e+04
20.2,2.975e+03,1.094e+05,4.634e+02,1.129e+05
21.8,5.426e+03,1.434e+05,6.352e+02,1.495e+05
23.3,3.108e+03,1.014e+05,5.353e+02,1.051e+05
24.9,7.350e+02,5.484e+04,3.191e+02,5.589e+04
26.4,1.412e+02,6.886e+04,4.408e+02,6.944e+04
28.0,1.470e+02,9.898e+04,7.621e+02,9.989e+04
29.5,4.364e+02,1.297e+05,1.228e+03,1.314e+05
31.1,7.933e+02,1.616e+05,1.722e+03,1.641e+05
32.7,9.600e+02,2.039e+05,2.137e+03,2.070e+05
34.2,1.174e+03,2.545e+05,2.854e+03,2.585e+05
35.8,1.357e+03,3.128e+05,4.266e+03,3.184e+05
37.3,1.562e+03,3.887e+05,6.717e+03,3.970e+05
38.9,1.849e+03,4.802e+05,1.056e+04,4.926e+05
40.4,2.047e+03,5.948e+05,1.677e+04,6.137e+05
42.0,2.281e+03,7.580e+05,2.836e+04,7.887e+05
43.5,2.699e+03,1.012e+06,5.300e+04,1.068e+06
45.1,3.099e+03,1.362e+06,1.044e+05,1.469e+06
46.6,3.724e+03,1.891e+06,2.346e+05,2.129e+06
48.2,4.246e+03,2.909e+06,7.760e+05,3.690e+06
49.8,3.917e+03,4.306e+06,2.659e+06,6.970e+06
51.3,1.716e+03,3.835e+06,4.386e+06,8.223e+06
52.9,3.458e+02,2.579e+06,3.808e+06,6.387e+06
54.4,1.694e+02,1.796e+06,2.674e+06,4.471e+06
56.0,2.097e+02,1.192e+06,2.155e+06,3.348e+06
57.5,4.064e+02,7.146e+05,2.013e+06,2.728e+06
59.1,1.344e+03,6.409e+05,2.145e+06,2.787e+06
60.6,3.322e+03,1.056e+06,2.402e+06,3.461e+06
62.2,7.445e+03,1.959e+06,2.657e+06,4.623e+06
63.8,1.165e+04,3.821e+06,2.985e+06,6.818e+06
65.3,1.358e+04,6.475e+06,3.186e+06,9.674e+06
66.9,1.935e+04,7.272e+06,2.817e+06,1.011e+07
68.4,2.786e+04,6.635e+06,2.267e+06,8.930e+06
70.0,2.012e+04,5.386e+06,1.610e+06,7.017e+06
71.5,8.222e+03,4.104e+06,1.056e+06,5.167e+06
73.1,2.468e+03,3.192e+06,7.246e+05,3.919e+06
74.6,1.013e+03,2.537e+06,5.250e+05,3.063e+06
76.2,2.212e+03,1.988e+06,3.851e+05,2.375e+06
77.7,5.677e+03,1.548e+06,2.893e+05,1.843e+06
79.3,1.210e+04,1.217e+06,2.257e+05,1.455e+06
80.9,1.956e+04,9.894e+05,1.862e+05,1.195e+06
82.4,2.384e+04,7.923e+05,1.534e+05,9.695e+05
84.0,2.551e+04,5.658e+05,1.145e+05,7.058e+05
85.5,2.591e+04,3.553e+05,7.631e+04,4.576e+05
87.1,2.460e+04,2.102e+05,4.652e+04,2.813e+05
88.6,2.158e+04,1.676e+05,2.614e+04,2.153e+05
90.2,2.538e+04,3.295e+05,1.739e+04,3.722e+05
91.7,3.959e+04,8.915e+05,2.718e+04,9.583e+05
93.3,5.139e+04,1.723e+06,4.889e+04,1.823e+06
94.9,4.241e+04,2.320e+06,6.304e+04,2.425e+06
