freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.215e+01,2.416e+03,9.051e+02,3.353e+03
1.6,5.633e+01,1.414e+03,5.267e+02,1.997e+03
3.1,4.742e+01,1.481e+02,2.852e+01,2.240e+02
4.7,5.672e+01,1.476e+03,3.234e+01,1.565e+03
6.2,7.345e+01,5.101e+03,4.257e+01,5.217e+03
7.8,8.881e+01,8.448e+03,5.123e+01,8.588e+03
9.3,1.053e+02,1.224e+04,6.767e+01,1.242e+04
10.9,1.267e+02,1.697e+04,8.726e+01,1.718e+04
12.4,1.565e+02,2.300e+04,1.099e+02,2.326e+04
14.0,1.841e+02,3.062e+04,1.282e+02,3.093e+04
15.5,2.098e+02,4.120e+04,1.696e+02,4.158e+04
17.1,2.294e+02,5.566e+04,2.541e+02,5.615e+04
18.7,3.598e+02,7.548e+04,3.610e+02,7.620e+04
20.2,2.410e+03,1.094e+05,5.817e+02,1.124e+05
21.8,4.874e+03,1.414e+05,8.818e+02,1.471e+05
23.3,2.801e+03,9.510e+04,6.933e+02,9.860e+04
24.9,6.919e+02,5.170e+04,4.247e+02,5.281e+04
26.4,1.407e+02,6.774e+04,6.050e+02,6.848e+04
28.0,1.484e+02,9.686e+04,1.067e+03,9.807e+04
29.5,4.800e+02,1.252e+05,1.815e+03,1.275e+05
31.1,8.364e+02,1.522e+05,3.075e+03,1.561e+05
32.6,8.791e+02,1.822e+05,5.024e+03,1.881e+05
34.2,9.557e+02,2.238e+05,7.171e+03,2.319e+05
35.8,1.119e+03,2.849e+05,9.320e+03,2.954e+05
37.3,1.349e+03,3.582e+05,1.332e+04,3.729e+05
38.9,1.560e+03,4.348e+05,2.067e+04,4.570e+05
40.4,1.767e+03,5.243e+05,3.560e+04,5.616e+05
42.0,1.972e+03,6.532e+05,7.148e+04,7.267e+05
43.5,2.286e+03,8.559e+05,1.515e+05,1.010e+06
45.1,2.572e+03,1.109e+06,3.157e+05,1.428e+06
46.6,2.580e+03,1.422e+06,7.949e+05,2.219e+06
48.2,2.720e+03,1.697e+06,2.488e+06,4.187e+06
49.7,5.344e+03,1.736e+06,4.573e+06,6.314e+06
51.3,7.085e+03,1.636e+06,3.874e+06,5.516e+06
52.9,6.126e+03,1.458e+06,2.462e+06,3.926e+06
54.4,6.567e+03,1.497e+06,1.867e+06,3.371e+06
56.0,7.933e+03,1.663e+06,1.521e+06,3.192e+06
57.5,9.053e+03,2.035e+06,1.348e+06,3.392e+06
59.1,1.094e+04,3.121e+06,1.513e+06,4.644e+06
60.6,1.409e+04,5.080e+06,1.931e+06,7.025e+06
62.2,1.640e+04,8.443e+06,2.624e+06,1.108e+07
63.7,1.366e+04,1.069e+07,2.922e+06,1.363e+07
65.3,1.696e+04,9.522e+06,2.374e+06,1.191e+07
66.8,3.793e+04,7.862e+06,1.923e+06,9.823e+06
68.4,4.474e+04,6.838e+06,1.748e+06,8.631e+06
70.0,2.296e+04,5.359e+06,1.339e+06,6.721e+06
71.5,7.940e+03,4.003e+06,9.672e+05,4.978e+06
73.1,2.185e+03,3.021e+06,7.373e+05,3.760e+06
74.6,1.294e+03,2.334e+06,6.032e+05,2.939e+06
76.2,3.304e+03,1.770e+06,5.086e+05,2.282e+06
77.7,6.518e+03,1.271e+06,4.331e+05,1.710e+06
79.3,9.639e+03,8.978e+05,3.907e+05,1.298e+06
80.8,1.207e+04,6.734e+05,3.564e+05,1.042e+06
82.4,1.180e+04,5.969e+05,3.002e+05,9.089e+05
84.0,9.449e+03,6.905e+05,2.232e+05,9.231e+05
85.5,6.769e+03,1.135e+06,1.644e+05,1.306e+06
87.1,6.694e+03,1.964e+06,1.148e+05,2.085e+06
88.6,1.216e+04,2.980e+06,7.063e+04,3.063e+06
90.2,2.717e+04,3.693e+06,3.690e+04,3.757e+06
91.7,3.968e+04,3.787e+06,1.994e+04,3.846e+06
93.3,3.862e+04,3.479e+06,1.676e+04,3.534e+06
94.8,2.812e+04,3.045e+06,2.264e+04,3.095e+06
96.4,1.700e+04,2.581e+06,3.468e+04,2.633e+06
97.9,1.061e+04,2.107e+06,4.405e+04,2.162e+06
99.5,8.762e+03,1.793e+06,4.927e+04,1.851e+06
101.1,1.004e+04,1.569e+06,5.153e+04,1.631e+06
102.6,1.510e+04,1.416e+06,4.689e+04,1.478e+06
104.2,2.105e+04,1.299e+06,4.093e+04,1.361e+06
105.7,2.670e+04,1.228e+06,3.656e+04,1.291e+06
107.3,3.338e+04,1.146e+06,3.367e+04,1.214e+06
108.8,2.996e+04,1.048e+06,3.075e+04,1.109e+06
110.4,3.186e+04,9.965e+05,2.913e+04,1.058e+06
111.9,3.653e+04,9.930e+05,2.844e+04,1.058e+06
113.5,3.984e+04,9.809e+05,2.819e+04,1.049e+06
115.0,3.974e+04,9.876e+05,2.993e+04,1.057e+06
116.6,3.064e+04,9.833e+05,3.280e+04,1.047e+06
118.2,1.847e+04,9.609e+05,3.477e+04,1.014e+06
119.7,1.255e+04,9.021e+05,3.522e+04,9.499e+05
121.3,1.345e+04,8.426e+05,3.429e+04,8.903e+05
122.8,1.407e+04,7.863e+05,3.409e+04,8.344e+05
124.4,9.021e+03,6.945e+05,3.359e+04,7.371e+05
125.9,5.621e+03,6.085e+05,3.305e+04,6.472e+05
127.5,6.234e+03,5.838e+05,3.708e+04,6.271e+05
129.0,8.397e+03,4.874e+05,3.634e+04,5.321e+05
130.6,1.142e+04,3.913e+05,3.481e+04,4.375e+05
132.1,1.389e+04,2.613e+05,2.630e+04,3.015e+05
133.7,6.396e+03,6.914e+04,6.464e+03,8.200e+04
135.3,2.674e+03,1.918e+04,1.472e+03,2.333e+04
136.8,1.984e+03,1.684e+04,1.125e+03,1.995e+04
138.4,1.238e+03,1.785e+04,9.198e+02,2.000e+04
139.9,9.332e+02,1.912e+04,8.976e+02,2.096e+04
141.5,1.090e+03,1.504e+04,5.655e+02,1.669e+04
143.0,9.600e+02,1.261e+04,2.661e+02,1.383e+04
144.6,8.347e+02,1.096e+04,1.754e+02,1.197e+04
146.1,9.564e+02,8.259e+03,1.703e+02,9.386e+03
147.7,1.088e+03,4.986e+03,1.844e+02,6.258e+03
149.2,1.376e+03,4.011e+03,1.975e+02,5.585e+03
