freq,psd_x,psd_y,psd_z,psd_xyz
150.8,2.033e+03,7.907e+03,1.807e+02,1.012e+04
152.4,2.232e+03,1.920e+04,1.325e+02,2.156e+04
153.9,2.292e+03,2.752e+04,1.058e+02,2.991e+04
155.5,2.335e+03,2.486e+04,1.315e+02,2.732e+04
157.0,1.987e+03,1.836e+04,1.413e+02,2.048e+04
158.6,1.936e+03,1.219e+04,1.413e+02,1.427e+04
160.1,1.979e+03,6.938e+03,1.192e+02,9.036e+03
161.7,2.141e+03,3.977e+03,9.144e+01,6.210e+03
163.2,2.556e+03,3.337e+03,7.188e+01,5.965e+03
164.8,2.523e+03,4.027e+03,7.199e+01,6.622e+03
166.3,2.751e+03,5.977e+03,7.395e+01,8.801e+03
167.9,3.070e+03,9.303e+03,8.173e+01,1.245e+04
169.5,3.388e+03,1.332e+04,9.304e+01,1.680e+04
171.0,3.701e+03,2.011e+04,1.094e+02,2.392e+04
172.6,3.580e+03,2.753e+04,1.225e+02,3.124e+04
174.1,3.397e+03,3.517e+04,1.465e+02,3.871e+04
175.7,3.012e+03,4.249e+04,1.986e+02,4.571e+04
177.2,2.614e+03,5.012e+04,2.454e+02,5.298e+04
178.8,2.652e+03,5.911e+04,2.769e+02,6.204e+04
180.3,2.485e+03,6.288e+04,3.061e+02,6.567e+04
181.9,2.248e+03,5.802e+04,3.090e+02,6.058e+04
183.4,2.035e+03,6.003e+04,2.821e+02,6.234e+04
185.0,2.088e+03,7.460e+04,2.867e+02,7.697e+04
186.6,2.335e+03,8.697e+04,3.390e+02,8.964e+04
188.1,2.498e+03,9.017e+04,3.474e+02,9.301e+04
189.7,2.425e+03,8.983e+04,3.226e+02,9.258e+04
191.2,2.165e+03,8.732e+04,2.840e+02,8.977e+04
192.8,1.972e+03,8.604e+04,2.843e+02,8.829e+04
194.3,2.158e+03,8.153e+04,2.488e+02,8.393e+04
195.9,2.537e+03,7.227e+04,2.122e+02,7.502e+04
197.4,4.183e+03,5.381e+04,1.783e+02,5.817e+04
199.0,5.827e+03,3.475e+04,1.373e+02,4.071e+04
