freq,psd_x,psd_y,psd_z,psd_xyz
164.9,1.274e+04,7.421e+03,9.237e+02,2.109e+04
166.4,7.850e+03,1.137e+03,5.183e+01,9.039e+03
167.9,7.908e+03,8.435e+02,5.388e+01,8.805e+03
169.4,7.702e+03,7.130e+02,5.267e+01,8.468e+03
170.9,7.814e+03,7.732e+02,4.954e+01,8.636e+03
172.4,8.206e+03,8.356e+02,4.615e+01,9.088e+03
173.9,9.007e+03,9.596e+02,5.707e+01,1.002e+04
175.4,9.260e+03,1.259e+03,7.247e+01,1.059e+04
176.9,9.153e+03,1.665e+03,7.851e+01,1.090e+04
178.4,8.358e+03,1.760e+03,8.797e+01,1.021e+04
179.9,7.779e+03,1.349e+03,9.671e+01,9.224e+03
181.4,7.684e+03,1.331e+03,1.050e+02,9.120e+03
182.9,7.482e+03,1.550e+03,1.007e+02,9.133e+03
184.4,6.294e+03,2.032e+03,7.650e+01,8.403e+03
185.9,6.918e+03,2.925e+03,7.282e+01,9.915e+03
187.4,6.750e+03,3.100e+03,8.441e+01,9.935e+03
188.9,6.142e+03,2.837e+03,1.041e+02,9.083e+03
190.4,5.620e+03,3.341e+03,1.113e+02,9.072e+03
191.9,5.735e+03,3.616e+03,1.158e+02,9.466e+03
193.4,6.792e+03,4.144e+03,1.053e+02,1.104e+04
194.9,6.940e+03,4.839e+03,1.009e+02,1.188e+04
196.4,6.254e+03,4.693e+03,8.932e+01,1.104e+04
197.9,6.429e+03,4.166e+03,7.161e+01,1.067e+04
199.4,6.407e+03,3.637e+03,6.611e+01,1.011e+04
